lineId,dialogueLineType,toLine,personName,content,eventFore,eventForeArgs,eventMain,eventMainArgs,eventAfter,eventAfterArgs,,
A280,MindLine,A281,脑海中的声音,你专注于思绪当中，\n不经意间和唯一的客人对上了目光。\n好像应该说点什么，\n但你没有开启话题的心情。\n如果他能主动说点什么就好了，\n你疲惫地想到。,,,,,,,,
A281,NarrationLine,A282,和善的青年,其实刚才我在门口碰到了……,,,,,,,,
A282,MindLine,A283,脑海中的声音,碰到了警官，面色不善的警官。,,,,,,,,
A283,NarrationLine,A284,和善的青年,巡警连月之节都要执勤，真是辛苦。,,,,,,,,
A284,NarrationLine,A285,和善的青年,没出什么事吧？,,,,,,,,
A285,MindLine,A286,脑海中的声音,非常有事！我被一名警官胁迫了！\n他动动手指就能让我这个小破店关门，还有可能把我也*抹脖子手势*了\n并且看起来完全有这个打算！\n我想报警！\n但我被胁迫了所以不能说！\n你在心里大叫。,,,,,,,,
A286,ChooseLine,,,,,,,,,,,
A287,ChoiceLine,A289,选项,没什么。,,,,,,,,
A288,ChoiceLine,A289,选项,只是例行巡查。,,,,,,,,
A289,NarrationLine,A290,和善的青年,我不该提的，是段不愉快的经历吧。,,,,,,,,
A290,MindLine,A291,脑海中的声音,他是如此通情达理。,,,,,,,,
A291,NarrationLine,A292,和善的青年,抱歉，但愿没有给您留下糟糕的印象。,,,,,,,,
A292,ChooseLine,,,,,,,,,,,
A293,ChoiceLine,A294,选项,“为什么你要道歉……？”,,,,,,,,
A294,NarrationLine,A295,和善的青年,嗯……因为我是土生土长的乌庇亚人，这座城市从前不是这样的。,,,,,,,,
A295,NarrationLine,A296,和善的青年,如果我能替那位警官，还有乌庇亚向您致意就好了。,,,,,,,,
A296,MindLine,A297,脑海中的声音,其中的逻辑并不寻常，\n他对这座城市抱有不浅的感情。\n刚才的警员也是如此。,,,,,,,,
A297,ChooseLine,,,,,,,,,,,
A298,ChoiceLine,A302,选项1,“从前是什么样的？”,,,,,,,,
A299,ChoiceLine,A304,选项2,“现在是什么样的？”,,,,,,,,
A300,ChoiceLine,A314,选项3,“怎么变成这样的？,,,,,,,,
A301,ChoiceLine,A320,选项4,（点头）,,,,,,,,
A302,NarrationLine,A303,和善的青年,建立在理想之上、真与善的指引之下的城市，充满热情，\n以探寻的精神和自由的氛围为荣。,,,,,,,,
A303,NarrationLine,A297,和善的青年,嗯……这么说的话，也有点不准确。要说是“从前”，\n它没有消失，只是有些临时性的变化。,HumanChange,"0,thalen_calm",,,,,,
A304,NarrationLine,A305,和善的青年,紧张，冰冷，原本盛大的节日期间，居民却实施自觉的宵禁。\n警察用怀疑的目光盘问几乎每一个人。,,,,,,,,
A305,NarrationLine,A306,和善的青年,几乎一切活动都遭到了审查。,,,,,,,,
A306,ChooseLine,,,,,,,,,,,
A307,ChoiceLine,A308,选项,“审查些什么?”,,,,,,,,
A308,NarrationLine,A309,和善的青年,不知道，我只能看到通过了审查的作品。,,,,,,,,
A309,ChooseLine,,,,,,,,,,,
A310,ChoiceLine,A311,选项,“听起来也没那么坏。”,,,,,,,,
A311,NarrationLine,A312,,他摇头。,,,,,,,,
A312,NarrationLine,A313,和善的青年,对于原本的乌庇亚来说，\n审查本就是多余的、越界的、而且是引起不安的。\n可以说，乌庇亚的每个人都分得清基本的优劣。,,,,,,,,
A313,NarrationLine,A297,和善的青年,更糟的是，没有一个明确的审查标准，\n于是每个人都在用一把不存在的尺子丈量和切割自己。,,,,,,,,
A314,NarrationLine,A315,和善的青年,我想知道，但我不知道。,,,,,,,,
A315,NarrationLine,A316,和善的青年,当我意识到的时候，变化已经发生了。\n好像每件单独的事情发生都合乎情理，但乌庇亚的呼吸被日渐紧扼。\n我们还不曾习惯这样的环境，回过神时却已经深陷其间了。,,,,,,,,
A316,NarrationLine,A317,和善的青年,据说有人，或者说有什么，有将乌庇亚毁灭的可能。,,,,,,,,
A317,NarrationLine,A318,和善的青年,唉，忘了吧，请务必忘掉刚才那句话。传播谣言是被严格禁止的。,,,,,,,,
A318,MindLine,A319,脑海中的声音,你想安慰他。\n无法证实改变，这算是一件好事。\n假如乌庇亚没有变，\n那么这一切症状只是暂时的，\n它总是会变回来的。\n但什么才是改变了呢？\n好像找不到明确的界限。,,,,,,,,
A319,MindLine,A297,脑海中的声音,精神、理想、某种信念或愿景，\n宣之于口的或是不言自明的共识。\n无生命之生命。\n往往是那么生机勃勃，以至于\n当它们开始死亡，没有人意识得到。,,,,,,,,
A320,NarrationLine,A321,和善的青年,如果您记住的是乌庇亚本来的样子就好了，我认为它总会回来的。,HumanChange,"0,thalen",,,,,,
A321,NarrationLine,A322,和善的青年,我说了一些不太适当的话。还是换个话题吧。,,,,,,,,
A322,MindLine,A323,脑海中的声音,他抿了一口酒，\n借此将先前的情绪吞咽下去。,,,,,,,,
A323,NarrationLine,A324,和善的青年,调酒师工作是种怎样的感觉？,,,,,,,,
A324,MindLine,A325,脑海中的声音,"真抱歉，你失忆了，
并且调酒师并不是你的全职工作，
那只是你主营业务的手段或幌子。",,,,,,,,
A325,ChooseLine,,,,,,,,,,,
A326,ChoiceLine,A329,选项1,这是个很宽泛的问题。,,,,,,,,
A327,ChoiceLine,A349,选项2,……就是一份工作的感觉。,,,,,,,,
A328,ChoiceLine,A352,选项3,我不知道，因为我失忆了。,,,,,,,,
A329,MindLine,A330,脑海中的声音,"你保持了中立的态度，
让他给你一个方向。",,,,,,,,
A330,NarrationLine,A331,,比如说你最喜欢这份工作的哪个部分？,,,,,,,,
A331,ChooseLine,,,,,,,,,,,
A332,ChoiceLine,A336,选项1-a,“冰块和饮具的质感。”,,,,,,,,
A333,ChoiceLine,A341,选项1-b,“和客人交谈。”,,,,,,,,
A334,ChoiceLine,A345,选项1-c,“把客人灌醉。”,,,,,,,,
A335,ChoiceLine,A349,选项1-d,“我不喜欢。”,,,,,,,,
A336,NarrationLine,A337,,冰块是很容易有气泡的。应当控制温度让水缓慢地冻结、让气泡有时间散逸，最后用凿子从中雕刻出剔透的立方体、球体、甚至特定的小雕塑。\n容器则有各异的材质和情绪，与每种酒的个性相配。,,,,,,,,
A337,NarrationLine,A338,,有些客人会欣赏，对大部分人来说，它们只是用于呈现饮品的工具而已。至少，你珍视这些隐藏在细节中的魅力，这种隐秘甚至让感觉更好。,,,,,,,,
A338,NarrationLine,A339,和善的青年,是比艺术家更实用的艺术家。,,,,,,,,
A339,MindLine,A340,脑海中的声音,不全是。你的脑海中闪过许多并不美妙的碎片：把闹事的客人扔出店门，打扫地板上的呕吐物……,,,,,,,,
A340,MindLine,A362,脑海中的声音,很多时候，你不得不在一片混乱和肮脏中勉强生存——就像世上大部分试图从事艺术的人一样。,,,,,,,,
A341,NarrationLine,A342,,他们走进来，点一杯或几杯酒，然后像开场了的电影般自顾自放映下去，有时你的视界上浮现出几个选项，你可以在有限的范围内决定话语的航船驶向何方。你学会了享受半自动的航程。,,,,,,,,
A342,MindLine,A343,脑海中的声音,是这样的吗？\n这是你的真心话，\n还是这成为了你的生存手段？,,,,,,,,
A343,MindLine,A344,脑海中的声音,你有时厌烦过分健谈的客人们，\n因为你憎恨倾诉、憎恨眼泪、\n憎恨自己不懂得放弃。,,,,,,,,
A344,MindLine,A362,脑海中的声音,那是属于过去的残响，\n你想从他口中听到些什么，\n但幻想中的朋友对此保持了沉默。,,,,,,,,
A345,NarrationLine,A346,,说是你把他们灌醉了并不准确，人们出于各式各样的理由灌醉自己，\n你所提供的酒精只是诸多手段中的一种。你从中取得了微妙的掌控感。,,,,,,,,
A346,NarrationLine,A347,,当然，其中最棒的部分是喝到某个程度以后，\n你随便端上什么，他们都会照单全收。赞美营业额！,,,,,,,,
A347,NarrationLine,A348,和善的青年,我完全理解这份趣味。,,,,,,,,
A348,NarrationLine,A362,和善的青年,但我还是会尽量避免酗酒的。,,,,,,,,
A349,MindLine,A350,脑海中的声音,你的客人竟然被这个相当冷酷的回答逗笑了，完全能理解你过分的直白。,,,,,,,,
A350,NarrationLine,A351,和善的青年,毕竟是一份工作啊。,,,,,,,,
A351,MindLine,A362,脑海中的声音,你不禁想知道他的职业。,,,,,,,,
A352,NarrationLine,A353,和善的青年,失忆了……？\n就是说，您什么都想不起来了？过去的事情一点都？,HumanChange,"0,thalen_wonder",,,,,,
A353,MindLine,A354,脑海中的声音,他的惊讶溢于言表，\n部分出于失忆现象本身的罕见程度，另一部分则是由于你能对刚见面的人说出如此私人且难以置信的事实。,,,,,,,,
A354,NarrationLine,A355,,“很难相信，对吧？”,,,,,,,,
A355,NarrationLine,A356,和善的青年,不，怎么说呢……我完全相信您。\n如果是说谎的话，反而没必要说出很难相信的事。\n只是……,,,,,,,,
A356,MindLine,A357,脑海中的声音,他总是很亲切。,,,,,,,,
A357,NarrationLine,A358,和善的青年,我都有点羡慕你了。,HumanChange,"0,thalen",,,,,,
A358,MindLine,A359,脑海中的声音,你有种“触底”的感觉。\n好像之前的对话中你一直被承托在水的浮力之上，除了刚刚的哪个瞬间。\n但也不全是。,,,,,,,,
A359,NarrationLine,A360,,为什么羡慕一个失忆的人呢？,,,,,,,,
A360,NarrationLine,A361,和善的青年,因为这也可以是一个机会……可以当中崭新的开始。,,,,,,,,
A361,NarrationLine,A362,和善的青年,可惜我对您也不是很了解，不能提供多少帮助。,,,,,,,,
A362,MindLine,A363,脑海中的声音,你发现他是一个很好的倾听者。\n亲切、包容，总是能部分地理解你话语中的景象或是感受。\n像一张柔软的丝质手绢或是包装纸。,,,,,,,,
A363,MindLine,A364,脑海中的声音,更多时候应该担任倾听者的是调酒师才对。,,,,,,,,
A364,NarrationLine,A365,,“为什么会对调酒师的工作内容感兴趣？”,,,,,,,,
A365,NarrationLine,A366,和善的青年,其实我经常来这里，就坐在窗边的位置。,,,,,,,,
A366,MindLine,A367,,认不出熟客，这让你有些尴尬。,,,,,,,,
A367,ChooseLine,,,,,,,,,,,
A368,ChoiceLine,A369,选项（仅1个）,“我不记得你……真不好意思。”,,,,,,,,
A369,NarrationLine,A370,和善的青年,"这不是您的问题，我总是在高峰的时候来，店里客人不少，
除了点单以外我们还没有私下交谈过。",,,,,,,,
A370,MindLine,A371,脑海中的声音,他顿了顿继续说下去。\n假如你足够敏锐，就会在他低垂的眼中发现某种……情绪。,,,,,,,,
A371,NarrationLine,A372,和善的青年,在我眼里调酒师就像没有宗教疆界的神父一样。,,,,,,,,
A372,ChooseLine,,,,,,,,,,,
A373,ChoiceLine,A376,选项1,“等等，像什么……？”,,,,,,,,
A374,ChoiceLine,A377,选项2,“我可不祷告。”,,,,,,,,
A375,ChoiceLine,A379,选项3,“那我让你失望了。”,,,,,,,,
A376,NarrationLine,A380,和善的青年,像听取人们告解的神职人员那样，只不过是没有神职的那种。,,,,,,,,
A377,MindLine,A378,脑海中的声音,不仅如此，\n许多宗教还对酒有严格的限制。,,,,,,,,
A378,MindLine,A380,脑海中的声音,假设有地狱存在的话，\n假设那里有你的位置，\n你也不会太意外。,,,,,,,,
A379,NarrationLine,A380,和善的青年,没有的事，您非常称职。,,,,,,,,
A380,NarrationLine,A381,和善的青年,归根结底只是一种虚构的幻想和比喻。,,,,,,,,
A381,ChooseLine,,,,,,,,,,,
A382,ChoiceLine,A383,选项（仅1个）,“比喻？”,,,,,,,,
A383,NarrationLine,A384,和善的青年,您接待客人进入特定的空间中、提供具有仪式意义的物品和接待，\n让他们放松下来，然后谈话。,,,,,,,,
A384,NarrationLine,A385,和善的青年,往往是关于他们个人生活的，有些涉及到烦恼和困境，\n有些则是纾解或者说是一种……告解。,,,,,,,,
A385,MindLine,A386,脑海中的声音,和调酒师谈心算不上一个好主意，\n但在很多情况下显然是最便利的。,,,,,,,,
A386,NarrationLine,A387,和善的青年,我相信人是无法背负沉默生活下去的，情绪和秘密需要一个特定的、\n与他们的世俗生活无关的存放处，即使对于无信仰的人也是如此。,,,,,,,,
A387,MindLine,A388,脑海中的声音,所以你售卖的是瓶装赎罪券、\n便携式告解室。,,,,,,,,
A388,NarrationLine,A389,,“那么您想忏悔什么呢……？”,,,,,,,,
A389,NarrationLine,A390,和善的青年,嗯？,,,,,,,,
A390,MindLine,A391,脑海中的声音,他露出意外的神情，\n从虚构的预设中脱离出来。\n他只是在描述一个以你为原型、\n经过了过度加工的角色，\n未曾料想你会进入角色。,,,,,,,,
A391,NarrationLine,A392,和善的青年,我要一杯【树洞】。,,,,,,,,
A392,MindLine,A393,脑海中的声音,很应景的点单，但你恐怕难以完成。,,,,,,,,
A393,ChooseLine,,,,,,,,,,,
A394,ChoiceLine,A396,选项1,“一杯树洞，马上来。”,,,,,,,,
A395,ChoiceLine,A398,选项2,“抱歉，这款酒下架了。”,,,,,,,,
A396,MindLine,A397,脑海中的声音,树洞的配方就在本子里，\n但那是几句莫名其妙的诗，\n标注了比例，却不是可执行的配方。,,,,,,,,
A397,MindLine,A398,脑海中的声音,试试看吧。,,,,,,,,
A398,NarrationLine,A399,和善的青年,下架了……真是可惜。,,,,,,,,
A399,ChooseLine,,,,,,,,,,,
A400,ChoiceLine,A401,选项（仅1个）,“是的，不再供应了。”,,,,,,,,
A401,NarrationLine,A402,和善的青年,我能问问为什么吗？,,,,,,,,
A402,MindLine,A403,脑海中的声音,看起来他真的很喜欢这款特调，\n即使价格翻倍他也会买单的，\n而遗憾的是——,,,,,,,,
A403,ChooseLine,,,,,,,,,,,
A404,ChoiceLine,A405,选项（仅1个）,“其实……”,,,,,,,,
A405,ChooseLine,,,,,,,,,,,
A406,ChoiceLine,A407,选项（仅1个）,“我把配方搞丢了。”,,,,,,,,
A407,MindLine,A408,脑海中的声音,配方就在本子里，\n但那是几句莫名其妙的诗，\n不是可执行的配方。,,,,,,,,
A408,MindLine,A409,脑海中的声音,你不太可能通过盲目尝试复现出来。,,,,,,,,
A409,NarrationLine,A410,和善的青年,搞丢了……吗？,HumanChange,"0,thalen_wonder",,,,,,
A410,NarrationLine,A411,和善的青年,我只记得一小部分。,HumanChange,"0,thalen_think",,,,,,
A411,NarrationLine,A412,和善的青年,依次是葡萄酒、夏翠丝和白兰地。,HumanChange,"0,thalen_think",,,,,,
A412,MindLine,A413,脑海中的声音,如果顺序没错的话，\n最后加入的白兰地略多一点。,,,,,,,,
A413,NarrationLine,A414,和善的青年,还有一种我不知道的原料，您总是神神秘秘的。,HumanChange,"0,thalen",,,,,,
A414,NarrationLine,A415,和善的青年,可能是固体的。,HumanChange,"0,thalen_think",,,,,,
A415,MindLine,A416,脑海中的声音,固体原料就不需要标注体积了。,,,,,,,,
A416,ChooseLine,,,,,,,,,,,
A417,ChoiceLine,A418,选项（仅1个）,“缺少的是‘永恒之物’。”,,,,,,,,
A418,NarrationLine,A419,和善的青年,永恒吗……,HumanChange,"0,thalen_wonder",,,,,,
A419,NarrationLine,A420,和善的青年,真是难猜啊。,HumanChange,"0,thalen",,,,,,
A420,NarrationLine,A421,和善的青年,世间没有什么是永恒的。\n非要说永恒不变的，就只有变化本身吧。,,,,,,,,
A421,MindLine,A422,脑海中的声音,试试看吧。,,,,,,,,
A422,GameLine,A423,,调酒流程,,,,,,,,
A423,ControlLine,,,"正确调酒->A424, 错误调酒->A499",,,,,,,,
A424,NarrationLine,A425,和善的青年,就是这个味道。,,,,,,,,
A425,MindLine,A426,脑海中的声音,他试过不加触媒的版本吗？,,,,,,,,
A426,MindLine,A427,脑海中的声音,盐、苦精、咖啡豆、莓果……\n大部分时候，触媒指的是叫得出名字的配料，如果是这些，单从味道上也能判断出来。\n无法从味道上判断的是无形之物。,,,,,,,,
A427,NarrationLine,A428,和善的青年,所以什么才是永恒之物呢？,HumanChange,"0,thalen_wonder",,,,,,
A428,NarrationLine,A429,和善的青年,啊，不用告诉我商业配方，我会再来的。,HumanChange,"0,thalen",,,,,,
A429,NarrationLine,A430,和善的青年,敬调酒师的好点子。,,,,,,,,
A430,MindLine,A431,脑海中的声音,按照配方上玄而又玄的介绍，\n“树洞”有保存记忆的奇妙功效。,,,,,,,,
A431,MindLine,A432,脑海中的声音,正好这里有个失忆的人，\n怎么会有这么巧的事？,,,,,,,,
A432,MindLine,A433,脑海中的声音,你应该给自己来一杯试试！,,,,,,,,
A433,MindChooseLine,,,,,,,,,,,
A434,ChoiceLine,A435,脑海选项,给自己调一杯【树洞】,,,,,,,,
A435,ChoiceLine,A466,脑海选项,下次……,,,,,,,,
A436,GameLine,A437,,调酒流程,,,,,,,,
A437,NarrationLine,A438,和善的青年,干杯。,Style,Utopia,HumanLoad,"0,thalen",,,,
A438,ChooseLine,,,,,,,,,,,
A439,ChoiceLine,A440,选项（仅1个）,干杯！,,,,,,,,
A440,MindLine,A441,脑海中的声音,味道很怪，香味起先像刚修剪过的草坪，然后像是潮湿的木材。,,,,,,,,
A441,MindLine,A442,脑海中的声音,很难说喜欢这款酒的客人和发明它的你，谁的品味更奇怪。,,,,,,,,
A442,MindLine,A443,脑海中的声音,度数不算低，酒精给予了恰到好处的刺激，尝起来就像彩色蜡笔。,,,,,,,,
A443,MindChooseLine,,,,,,,,,,,
A444,ChoiceLine,A446,脑海选项,就像彩色蜡笔？,,,,,,,,
A445,ChoiceLine,A447,脑海选项,……诡异得过分,,,,,,,,
A446,NarrationLine,A447,,不是味如嚼蜡，它有着彩色的口感。,,,,,,,,
A447,NarrationLine,A448,,你是不是喝醉了？,,,,,,,,
A448,ChooseLine,,,,,,,,,,,
A449,ChoiceLine,A450,选项（仅1个）,我没醉。,,,,,,,,
A450,NarrationLine,A451,,没醉的话，为什么你感……到一阵，……悲 伤、？,,,,,,,,
A451,MindLine,A452,脑海中的声音,像放到过期忘了吃的漂亮点心。,,,,,,,,
A452,NarrationLine,A453,,像打翻在地的甜牛奶。,,,,,,,,
A453,MindLine,A454,脑海中的声音,像喉头的哽咽。,,,,,,,,
A454,NarrationLine,A455,,像在你怀中死去的小动物。,,,,,,,,
A455,MindLine,A456,脑海中的声音,它毛绒绒的。,,,,,,,,
A456,NarrationLine,A457,,你追悔莫及。,,,,,,,,
A457,MindLine,A458,脑海中的声音,好吧，确实有一点。,,,,,,,,
A458,NarrationLine,A459,,你凝神去观察客人，神色如常。【树洞】绝对称不上烈酒。,,,,,,,,
A459,NarrationLine,A460,,但愿你没有表现出醉态。,,,,,,,,
A460,MindLine,A461,脑海中的声音,你没醉，只是有点难过。,,,,,,,,
A461,NarrationLine,A462,,你们之间的区别是什么呢？,,,,,,,,
A462,MindLine,A463,脑海中的声音,如果树洞可以保存记忆，\n你用树洞保存了悲伤的情绪，\n只有情绪，没有线索。,,,,,,,,
A463,MindLine,A464,脑海中的声音,你藏酒、酿酒，\n未来的某一天再把悲伤拿出来品尝。\n你大可等准备好了再来品尝它。,,,,,,,,
A464,MindLine,A465,脑海中的声音,你幻想中的朋友摇了摇头，\n“计划赶不上变化。”,,,,,,,,
A465,MindLine,A466,脑海中的声音,你想问……,,,,,,,,
A466,ChooseLine,,,,,,,,,,,
A467,ChoiceLine,A468,选项（仅1个）,“什么才称得上永恒之物？”,,,,,,,,
A468,NarrationLine,A469,和善的青年,这个问题需要定义。,HumanChange,"0,thalen_wonder",,,,,,
A469,NarrationLine,A470,和善的青年,是说不变的东西，还是不会消失的东西就行？,,,,,,,,
A470,NarrationLine,A471,和善的青年,"如果认定形状改变不影响本质的话，什么都可以说是永恒的，
问题也没有指向性了。",HumanChange,"0,thalen",,,,,,
A471,NarrationLine,A472,和善的青年,至于不变的永恒之物……,HumanChange,"0,thalen_wonder",,,,,,
A472,NarrationLine,A473,和善的青年,我认为是瞬间的错觉。,HumanChange,"0,thalen",,,,,,
A473,ChooseLine,,,,,,,,,,,
A474,ChoiceLine,A477,选项1,“瞬间的错觉？”,,,,,,,,
A475,ChoiceLine,A477,选项2,“那不就是不存在。”,,,,,,,,
A476,ChoiceLine,A495,选项3,点头接受这个答案。,,,,,,,,
A477,NarrationLine,A478,和善的青年,我曾经见过一座碑刻，因为时间久远，已经风化开裂了。,,,,,,,,
A478,NarrationLine,A479,和善的青年,所幸大部分的字还能识别。,,,,,,,,
A479,NarrationLine,A480,和善的青年,“永恒”的字样上方裂开口子，成了一窝小鸟的巢。,,,,,,,,
A480,NarrationLine,A481,和善的青年,过去的人抱着何种心情刻下这个字？,,,,,,,,
A481,NarrationLine,A482,和善的青年,那时候我意识到，发明和后继使用这个词汇的人都是人类而非神明，\n从寿命有限的人类口中说出，也许一开始就不是指向时间的永恒。,,,,,,,,
A482,NarrationLine,A483,和善的青年,永恒是一个程度副词。用以形容深刻和强烈。,,,,,,,,
A483,MindLine,A484,脑海中的声音,很熟悉，\n你可能在哪里听过类似的论调。,,,,,,,,
A484,NarrationLine,A485,和善的青年,永恒的仇恨、爱、遗憾……或是像春天永远不会再来的寒冷。,,,,,,,,
A485,NarrationLine,A486,和善的青年,您认为呢？,,,,,,,,
A486,ChooseLine,,,,,,,,,,,
A487,ChoiceLine,A490,选项1-a,“感觉像戏剧或者诗歌的选段。”,,,,,,,,
A488,ChoiceLine,A492,选项1-b,“不好说，对我有点太诗意了。”,,,,,,,,
A489,ChoiceLine,A495,选项1-c,“我只认同到错觉那部分。”,,,,,,,,
A490,NarrationLine,A491,和善的青年,这是我的一点小爱好。,,,,,,,,
A491,MindLine,A497,脑海中的声音,可能是读者，也可能是作者。,,,,,,,,
A492,NarrationLine,A493,和善的青年,是我说得太故弄玄虚了。,,,,,,,,
A493,NarrationLine,A494,和善的青年,反正永恒的含义是非常主观的问题。,,,,,,,,
A494,NarrationLine,A497,和善的青年,您肯定有自己的答案，所以才会有这样的配方。,,,,,,,,
A495,NarrationLine,A496,和善的青年,永恒的含义是非常主观的问题。,,,,,,,,
A496,NarrationLine,A497,和善的青年,您肯定有自己的答案，所以才会有这样的配方。,,,,,,,,
A497,NarrationLine,A498,和善的青年,无论是哪一种……,,,,,,,,
A498,NarrationLine,A506,和善的青年,能把遗失的配方还原真是太好了。,,,,,,,,
A499,NarrationLine,A500,和善的青年,完全不一样……,,,,,,,,
A500,NarrationLine,A501,和善的青年,这杯有点太,,,,,,,,
A501,NarrationLine,A502,和善的青年,<size=72%>（小声）它不够难喝。</size>,,,,,,,,
A502,MindLine,A503,脑海中的声音,不够什么？,,,,,,,,
A503,NarrationLine,A504,和善的青年,看来至少今天是喝不到了。,HumanChange,"0,thalen",,,,,,
A504,NarrationLine,A505,和善的青年,很多调酒配方都是灵光一现，甚至有些是意外的产品。,HumanChange,"0,thalen_wonder",,,,,,
A505,NarrationLine,A506,和善的青年,只能希望某天再意外复现了吗……,HumanChange,"0,thalen",,,,,,
A506,NarrationLine,A507,和善的青年,快到打烊时间了，那我不打扰了，老板。,,,,,,,,
A507,ChooseLine,A508,,,,,,,,,,
A508,ChoiceLine,A509,选项（仅1个）,“再见……呃，”,,,,,,,,
A509,MindLine,A510,脑海中的声音,你下意识地回答，后半句中会出现称呼的那种语气。\n但是你怎么称呼他呢？\n再见，客人。听起来怪怪的。\n再见，不知道名字的客人？,,,,,,,,
A510,NarrationLine,A511,和善的青年,塔伦（Thalen），我的中间名。,,,,,,,,
A511,MindLine,A512,脑海中的声音,他是如此善解人意。,,,,,,,,
A512,ControlLine,A513,,（关门声）,,,,,,,,
A513,NarrationLine,A514,,下班！,,,,,,,,
A514,ControlLine,A515,,,,,,,,,,
